id,output
21084b9217277750918824374d0ac0,排水方式
2107aafc17275075590991184d100c,控制方式
2132d91b17276822460003292d0b16,适用季节
0b5dcf7c17274819873488776d0aa6,反馈用后症状
212c48dd17272677135588098d0fe4,商品规格
2132d88017281297881813958d0fb9,发货数量
2166c11117281477981508454d0b98,包装区别
2108487717277441101502252d1069,控制方式
212c38df17273652530415394d0aa5,是否好用
0b51e2cf17282831599692292d0aa6,商品材质
0bb17f7417280968395566402d09fb,商品材质
2132d56f17275140420226925d0ace,商品材质
0bf8da6517278117783028654d0fdb,包装区别
213e438b17280492547427360d0b28,套装推荐
21077ee817278325879093767d0b15,上市时间
21086b9617281353591667946d103a,套装推荐
213c7d8e17272673180973055d0faf,能否调光
210477fb17278545095177403d0b09,单品推荐
213e931817277928206955863d0a38,商品材质
2107c89e17277933344816753d0fa6,用法用量
213febf317282209550622855d0faa,版本款型区别
2103f59d17274933541061979d0f99,库存查询
2108487917272777830978862d102b,商品规格
2167577317275663951255157d0ffb,包装区别
0b51dfd917280376844658672d0aef,包装区别
212c9b5b17276944784434681d1055,套装推荐
2104dfb517275484999458010d1046,商品材质
21072ba817282127193148201d0f8e,包装区别
2104491c17281097916827797d0fc6,商品规格
0b5106f217279587764203211d0a55,信号情况
21675fb817281389203081291d102a,适用季节
2133798c17282748545224081d0fec,信号
213f62bd17275168135992678d0ff1,用法用量
21663e5317273555546062558d1011,功效功能
213667df17279270412324526d00df,包装区别
2166322017276246327362071d0b1e,反馈密封性不好
2103c49217272257655257661d0b0d,反馈密封性不好
2133d51a17281154831048515d1038,是否会生锈
21057e2817278268198351080d0f81,反馈密封性不好
2106ed4317272614006132718d0ad4,适用季节
2104491d17276121989767379d0a87,套装推荐
213e6c1417273100770062763d0fa0,养护方法
2166c7c017274844872766766d1029,版本款型区别
0bf8daf917280359160435182d0f91,上市时间
213ed3ae17282994070466485d13c7,排水方式
21077f1b17276020893173035d0b18,包装区别
212c722517277898820556625d104e,养护方法
21054e4a17274420578776308d1038,能否调光
2108691417274040420252753d0ff9,排水方式
2150918017275183898616055d1010,气泡
21054d0417280009193523943d1057,套装推荐
2104005617278803042706796d0b23,商品规格
213368ae17282053620094164d0b01,信号情况
0bbb343917273226123925553d0f91,何时上货
21509c5117275679757331057d07e9,信号情况
2104b34017273226633315893d103d,商品规格
21662ad517281037445607884d0fea,用法用量
2167165617280931996151057d0b0c,商品规格
0b5183ff17272610035166563d0ad7,商品材质
212b7bf617276136262185794d1045,适用季节
2127e96c17273966761471590d0b0d,商品材质
210476c317282271878741361d100b,反馈密封性不好
21547b8217276785937551858d0ff0,适用季节
2127d70417274302286226947d0a8f,用法用量
2167510817280947312534938d1081,包装区别
213fddad17277505317541621d101f,单品推荐
213cf9ce17283081399878115d0abc,控制方式
21336cf817273351668116063d1000,是否好用
213cc00117276093648976482d0b0e,养护方法
2103f36417272561633648794d0fbd,反馈用后症状
0b52063317278607167498966d0f94,养护方法
212cc85617280442656108802d1006,适用季节
2107985b17281170210713907d0ff1,单品推荐
212b885817274775839702941d0ae6,发货数量
210419b417274033407134324d0f91,何时上货
2146886a17281266517198702d0a1e,适用季节
2167510817282989042614743d1081,何时上货
0b14562617276155384903301d0e8e,版本款型区别
213e5b8517277786630165248d0ff5,包装区别
213f1a7617273255588254190d0ad7,包装区别
0b512c5d17281043515171587d0fde,包装区别
21547e6f17277526210487355d0b0f,商品材质
216726ce17272796101751632d0ae0,单品推荐
212bb86817273663473651741d0b0c,商品规格
2127bcd917277610723022825d0fe9,商品规格
216726ce17282706747494885d0ae0,控制方式
2133ca5817281699280365203d0b12,套装推荐
2132972817278426271011720d0b08,气泡
2166fb5917272725939801619d104e,版本款型区别
2167231c17274885598504903d0ff8,是否会生锈
210560d517275703839491217d1038,包装区别
212c65ce17282225200628947d10bc,版本款型区别
2107186517280165772385984d103b,商品规格
21077ee817278668899794743d0b15,适用季节
2107f4ed17275866365948207d0a87,版本款型区别
2150302d17276738017238358d0b2b,商品材质
212c057c17278355817037716d0a9e,颜色分类
0bbb134217273082511566393d0aa5,包装区别
213f6b4a17283024752115499d0b21,套装推荐
213f0c0117273161183064683d0fd8,气泡
